"ID.Results";"mes_date";"ID.Modul";"channel";"U0";"Ik";"Pmpp";"FF";"Ghor";"Tluft";"RA";"MN";"HN";"Res";"mes_time"
"2912013";"10/1/2024 12:00:29 AM";2;3;0;0;0;NA;-30003000;"15.1°C ";700;90;0;1;1
"2912014";"10/1/2024 12:01:29 AM";2;3;0;0;0;NA;-30003000;"15.1°C ";115;0;0;1;1
"2912015";"10/1/2024 12:15:29 AM";2;3;0;0;0;NA;-30003000;"15°C ";700;90;0;1;1
"2912016";"10/1/2024 12:16:29 AM";2;3;0;0;0;NA;-30003000;"15°C ";115;0;0;1;1
"2912017";"10/1/2024 12:30:29 AM";2;3;0;0;0;NA;-30003000;"14.8°C ";700;90;0;1;1
"2912018";"10/1/2024 12:31:29 AM";2;3;0,121;7,1e-06;1,525e-07;18;-30003000;"14.8°C ";115;0;0;1;2
"2912019";"10/1/2024 12:45:29 AM";2;3;0;0;0;NA;-30003000;"14.8°C ";700;90;0;1;1
"2912020";"10/1/2024 12:46:29 AM";2;3;0,121;6,4e-06;1,525e-07;20;-30003000;"14.8°C ";115;0;0;1;1
"2912021";"10/1/2024 1:00:29 AM";2;3;0;0;0;NA;-30003000;"14.7°C ";700;90;0;1;1
"2912022";"10/1/2024 1:01:29 AM";2;3;0;0;0;NA;-30003000;"14.7°C ";115;0;0;1;1
"2912023";"10/1/2024 1:15:29 AM";2;3;0;0;0;NA;-30003000;"14.6°C ";700;90;0;1;1
"2912024";"10/1/2024 1:16:29 AM";2;3;0;0;0;NA;-30003000;"14.6°C ";115;0;0;1;1
"2912025";"10/1/2024 1:30:29 AM";2;3;0;0;0;NA;-30003000;"14.4°C ";700;90;0;1;1
"2912026";"10/1/2024 1:31:29 AM";2;3;0;0;0;NA;-30003000;"14.5°C ";115;0;0;1;1
"2912027";"10/1/2024 1:45:29 AM";2;3;0,394;3,92e-05;4,6852e-06;30;-30003000;"14.4°C ";700;90;0;1;2
